timestamp,frame,shot_type,ball_x,ball_y,movement
00:16,422,Forehand,1242,287,216.11
00:19,479,Backhand,1026,281,206.01
00:28,707,Backhand,682,781,606.34
00:29,733,Forehand,1026,281,606.91
00:34,863,Backhand,859,293,167.43
00:35,883,Forehand,1026,280,168.5
00:38,974,Forehand,1228,270,202.25
00:46,1152,Backhand,846,208,388.15
00:46,1172,Backhand,786,286,98.41
00:50,1269,Forehand,826,294,23.02
01:21,2030,Forehand,997,290,169.0
02:12,3323,Forehand,1217,362,200.0
02:16,3419,Backhand,1024,306,199.45
02:17,3447,Forehand,1217,363,201.24
02:33,3843,Backhand,1025,307,199.72
02:35,3891,Backhand,980,281,51.97
03:22,5072,Backhand,896,331,253.86
03:24,5108,Forehand,1147,293,253.86
04:02,6057,Backhand,762,209,395.03
04:18,6454,Forehand,928,293,190.68
04:20,6505,Backhand,856,184,131.19
04:20,6521,Backhand,802,362,186.01
04:26,6655,Forehand,899,710,361.27
04:32,6807,Backhand,892,700,20.52
04:33,6825,Backhand,882,284,418.23
04:34,6861,Forehand,1146,287,263.03
